hp:0000001	all	all
hp:0007204	diffuse white matter abnormalities	diffuse white matter abnormalities
hp:0007206	hemimegalencephaly	hemimegalencephaly
hp:0007207	photosensitive tonic-clonic seizures	photosensitive tonic-clonic seizures
hp:0007207	photosensitive tonic-clonic seizures	seizures, tonic-clonic, photosensitive
hp:0007208	irregular myelin loops	irregular myelin loops
hp:0007209	facial paralysis	facial paralysis
hp:0007209	facial paralysis	facial paralysis
hp:0007209	facial paralysis	facial paresis
hp:0007210	lower limb amyotrophy	lower limb amyotrophy
hp:0007215	periodic hyperkalemic paralysis	periodic hyperkalemic paralysis
hp:0007215	periodic hyperkalemic paralysis	hyperkalemic periodic paralysis
hp:0007220	demyelinating motor neuropathy	demyelinating motor neuropathy
hp:0007221	progressive truncal ataxia	progressive truncal ataxia
hp:0007227	macrogyria	macrogyria
hp:0007229	intracerebral periventricular calcifications	intracerebral periventricular calcifications
hp:0007230	decreased distal sensory nerve action potential	decreased distal sensory nerve action potential
hp:0007232	spinocerebellar tract disease in lower limbs	spinocerebellar tract disease in lower limbs
hp:0007233	clusters of axonal regeneration	clusters of axonal regeneration
hp:0007236	recurrent subcortical infarcts	recurrent subcortical infarcts
hp:0007238	nonarteriosclerotic cerebral calcification	nonarteriosclerotic cerebral calcification
hp:0007238	nonarteriosclerotic cerebral calcification	cerebral calcification, nonarteriosclerotic
hp:0007239	congenital encephalopathy	congenital encephalopathy
hp:0007240	progressive gait ataxia	progressive gait ataxia
hp:0007240	progressive gait ataxia	gait ataxia, progressive
hp:0007249	decreased number of small peripheral myelinated nerve fibers	decreased number of small peripheral myelinated nerve fibers
hp:0007250	recurrent external ophthalmoplegia	recurrent external ophthalmoplegia
hp:0007256	abnormal pyramidal sign	abnormal pyramidal sign
hp:0007256	abnormal pyramidal sign	corticospinal signs
hp:0007256	abnormal pyramidal sign	pyramidal tract signs
hp:0007256	abnormal pyramidal sign	pyramidal signs
hp:0007258	severe demyelination of the white matter	severe demyelination of the white matter
hp:0007260	type ii lissencephaly	type ii lissencephaly
hp:0007260	type ii lissencephaly	cobblestone lissencephaly
hp:0007260	type ii lissencephaly	lissencephaly type ii
hp:0007260	type ii lissencephaly	type 2 lissencephaly
hp:0007262	symmetric peripheral demyelination	symmetric peripheral demyelination
hp:0007263	spinocerebellar atrophy	spinocerebellar atrophy
hp:0007265	absent mesencephalon	absent mesencephalon
hp:0007266	cerebral dysmyelination	cerebral dysmyelination
hp:0007266	cerebral dysmyelination	areas of dysmyelination on mri
hp:0007266	cerebral dysmyelination	dysmyelination of the brain
hp:0007267	chronic axonal neuropathy	chronic axonal neuropathy
hp:0007267	chronic axonal neuropathy	chronic sural axonal neuropathy
hp:0007268	aprosencephaly	aprosencephaly
hp:0007269	spinal muscular atrophy	spinal muscular atrophy
hp:0007269	spinal muscular atrophy	spinal muscle wasting
hp:0007269	spinal muscular atrophy	spinal muscle degeneration
hp:0007270	atypical absence seizures	atypical absence seizures
hp:0007270	atypical absence seizures	atypical petit mal seizures
hp:0007271	occipital myelomeningocele	occipital myelomeningocele
hp:0007272	progressive psychomotor deterioration	progressive psychomotor deterioration
hp:0007272	progressive psychomotor deterioration	progressive mental and motor deterioration
hp:0007274	recurrent bacterial meningitis	recurrent bacterial meningitis
hp:0007277	paucity of anterior horn motor neurons	paucity of anterior horn motor neurons
hp:0007280	acute infantile spinal muscular atrophy	acute infantile spinal muscular atrophy
hp:0007281	developmental stagnation	developmental stagnation
hp:0007281	developmental stagnation	developmental arrest
hp:0007285	facial palsy secondary to cranial hyperostosis	facial palsy secondary to cranial hyperostosis
hp:0007285	facial palsy secondary to cranial hyperostosis	facial palsy secondary to hypertrophy of cranial bones
hp:0007285	facial palsy secondary to cranial hyperostosis	facial palsy caused by overgrowth of cranial bones
hp:0007285	facial palsy secondary to cranial hyperostosis	facial palsy caused by enlargement of cranial bones
hp:0007285	facial palsy secondary to cranial hyperostosis	facial palsy caused by excessive growth of facial bones
hp:0007286	horizontal jerk nystagmus	horizontal jerk nystagmus
hp:0007289	limb fasciculations	limb fasciculations
hp:0007289	limb fasciculations	limb fasciculation
hp:0007291	posterior fossa cyst	posterior fossa cyst
hp:0007293	anterior sacral meningocele	anterior sacral meningocele
hp:0007295	chaotic rapid conjugate ocular movements	chaotic rapid conjugate ocular movements
hp:0007299	dysfunction of lateral corticospinal tracts	dysfunction of lateral corticospinal tracts
hp:0007301	oromotor apraxia	oromotor apraxia
hp:0007302	bipolar affective disorder	bipolar affective disorder
hp:0007302	bipolar affective disorder	bipolar disorder
hp:0007305	cns demyelination	cns demyelination
hp:0007305	cns demyelination	demyelination in central white matter
hp:0007307	rapid neurologic deterioration	rapid neurologic deterioration
hp:0007308	extrapyramidal dyskinesia	extrapyramidal dyskinesia
hp:0007311	short stepped shuffling gait	short stepped shuffling gait
hp:0007311	short stepped shuffling gait	short stepped shuffling walk
hp:0007313	cerebral degeneration	cerebral degeneration
hp:0007313	cerebral degeneration	neuroaxonal degeneration in the brain
hp:0007314	white matter neuronal heterotopia	white matter neuronal heterotopia
hp:0007316	obsolete involuntary writhing movements	obsolete involuntary writhing movements
hp:0007321	deep white matter hypodensities	deep white matter hypodensities
hp:0007321	deep white matter hypodensities	deep cerebral white matter hypodensities
hp:0007325	generalized dystonia	generalized dystonia
hp:0007326	progressive choreoathetosis	progressive choreoathetosis
hp:0007327	mixed demyelinating and axonal polyneuropathy	mixed demyelinating and axonal polyneuropathy
hp:0007328	impaired pain sensation	impaired pain sensation
hp:0007328	impaired pain sensation	decreased pain sensation
hp:0007328	impaired pain sensation	impaired pain sensation
hp:0007328	impaired pain sensation	decreased pinprick sensation
hp:0007330	frontal encephalocele	frontal encephalocele
hp:0007332	hemifacial seizures	hemifacial seizures
hp:0007333	hypoplasia of the frontal lobes	hypoplasia of the frontal lobes
hp:0007333	hypoplasia of the frontal lobes	frontal lobe hypoplasia
hp:0007333	hypoplasia of the frontal lobes	hypoplastic frontal lobes
hp:0007333	hypoplasia of the frontal lobes	underdeveloped frontal lobe
hp:0007334	generalized tonic-clonic seizures with focal onset	generalized tonic-clonic seizures with focal onset
hp:0007334	generalized tonic-clonic seizures with focal onset	partial seizures with secondary generalization
hp:0007334	generalized tonic-clonic seizures with focal onset	secondary generalized tonic clonic seizures
hp:0007334	generalized tonic-clonic seizures with focal onset	secondary generalized tonic-clonic seizures
hp:0007334	generalized tonic-clonic seizures with focal onset	secondarily generalised tonic-clonic seizures
hp:0007334	generalized tonic-clonic seizures with focal onset	bilateral convulsive seizures
hp:0007335	recurrent encephalopathy	recurrent encephalopathy
hp:0007335	recurrent encephalopathy	recurrent cerebellar and extrapyramidal encephalopathy
hp:0007338	hypermetric saccades	hypermetric saccades
hp:0007340	lower limb muscle weakness	lower limb muscle weakness
hp:0007340	lower limb muscle weakness	lower extremity weakness
hp:0007340	lower limb muscle weakness	lower limb muscle weakness
hp:0007340	lower limb muscle weakness	lower limb weakness
hp:0007340	lower limb muscle weakness	muscle weakness in lower limbs
hp:0007341	diffuse swelling of cerebral white matter	diffuse swelling of cerebral white matter
hp:0007343	abnormal morphology of the limbic system	abnormal morphology of the limbic system
hp:0007343	abnormal morphology of the limbic system	limbic malformation
hp:0007344	atrophy/degeneration involving the spinal cord	atrophy/degeneration involving the spinal cord
hp:0007344	atrophy/degeneration involving the spinal cord	atrophic and degenerative changes in the spinal cord
hp:0007346	subcortical white matter calcifications	subcortical white matter calcifications
hp:0007348	hypoplasia of the pyramidal tract	hypoplasia of the pyramidal tract
hp:0007350	hyperreflexia in upper limbs	hyperreflexia in upper limbs
hp:0007351	upper limb postural tremor	upper limb postural tremor
hp:0007351	upper limb postural tremor	postural tremor of arms
hp:0007352	cerebellar calcifications	cerebellar calcifications
hp:0007354	amyotrophic lateral sclerosis	amyotrophic lateral sclerosis
hp:0007359	focal-onset seizure	focal-onset seizure
hp:0007359	focal-onset seizure	partial seizures
hp:0007359	focal-onset seizure	focal seizures
hp:0007359	focal-onset seizure	focal-onset seizures
hp:0007360	aplasia/hypoplasia of the cerebellum	aplasia/hypoplasia of the cerebellum
hp:0007360	aplasia/hypoplasia of the cerebellum	atrophy/degeneration affecting the cerebellum
hp:0007360	aplasia/hypoplasia of the cerebellum	atrophy/hypoplasia of the cerebellum
hp:0007360	aplasia/hypoplasia of the cerebellum	cerebellar hypoplasia/atrophy
hp:0007360	aplasia/hypoplasia of the cerebellum	absent/underdeveloped cerebellum
hp:0007360	aplasia/hypoplasia of the cerebellum	absent/small cerebellum
hp:0007361	abnormality of the pons	abnormality of the pons
hp:0007362	aplasia/hypoplasia of the brainstem	aplasia/hypoplasia of the brainstem
hp:0007362	aplasia/hypoplasia of the brainstem	absent/underdeveloped brainstem
hp:0007362	aplasia/hypoplasia of the brainstem	absent/small brainstem
hp:0007363	aplasia/hypoplasia of the pyramidal tract	aplasia/hypoplasia of the pyramidal tract
hp:0007364	aplasia/hypoplasia of the cerebrum	aplasia/hypoplasia of the cerebrum
hp:0007364	aplasia/hypoplasia of the cerebrum	absent/underdeveloped cerebrum
hp:0007364	aplasia/hypoplasia of the cerebrum	absent/small cerebrum
hp:0007365	aplasia/hypoplasia involving the corticospinal tracts	aplasia/hypoplasia involving the corticospinal tracts
hp:0007366	atrophy/degeneration affecting the brainstem	atrophy/degeneration affecting the brainstem
hp:0007366	atrophy/degeneration affecting the brainstem	brainstem atrophy
hp:0007367	atrophy/degeneration affecting the central nervous system	atrophy/degeneration affecting the central nervous system
hp:0007369	atrophy/degeneration affecting the cerebrum	atrophy/degeneration affecting the cerebrum
hp:0007370	aplasia/hypoplasia of the corpus callosum	aplasia/hypoplasia of the corpus callosum
hp:0007370	aplasia/hypoplasia of the corpus callosum	absent/hypoplastic corpus callosum
hp:0007370	aplasia/hypoplasia of the corpus callosum	agenesis/hypoplastic corpus callosum
hp:0007370	aplasia/hypoplasia of the corpus callosum	hypoplasia or absence of the corpus callosum
hp:0007370	aplasia/hypoplasia of the corpus callosum	hypoplastic or absent corpus callosum
hp:0007370	aplasia/hypoplasia of the corpus callosum	complete or partial absence of the corpus callosum
hp:0007371	corpus callosum atrophy	corpus callosum atrophy
hp:0007371	corpus callosum atrophy	atrophic corpus callosum
hp:0007371	corpus callosum atrophy	atrophy of the corpus callosum
hp:0007371	corpus callosum atrophy	atrophy/degeneration of the corpus callosum
hp:0007372	atrophy/degeneration involving the corticospinal tracts	atrophy/degeneration involving the corticospinal tracts
hp:0007373	motor neuron atrophy	motor neuron atrophy
hp:0007373	motor neuron atrophy	motor neuron degeneration
hp:0007374	atrophy/degeneration involving the caudate nucleus	atrophy/degeneration involving the caudate nucleus
hp:0007375	abnormality of the septum pellucidum	abnormality of the septum pellucidum
hp:0007376	abnormality of the choroid plexus	abnormality of the choroid plexus
hp:0007377	abnormality of somatosensory evoked potentials	abnormality of somatosensory evoked potentials
hp:0007377	abnormality of somatosensory evoked potentials	abnormality of sseps
hp:0007378	neoplasm of the gastrointestinal tract	neoplasm of the gastrointestinal tract
hp:0007378	neoplasm of the gastrointestinal tract	gastrointestinal tract neoplasia
hp:0007378	neoplasm of the gastrointestinal tract	gastrointestinal tract neoplasm
hp:0007378	neoplasm of the gastrointestinal tract	gastrointestinal tract tumor
hp:0007378	neoplasm of the gastrointestinal tract	gi tract tumor
hp:0007379	neoplasm of the genitourinary tract	neoplasm of the genitourinary tract
hp:0007379	neoplasm of the genitourinary tract	genitourinary tract neoplasm
hp:0007379	neoplasm of the genitourinary tract	genitourinary tract tumors
hp:0007380	facial telangiectasia	facial telangiectasia
hp:0007380	facial telangiectasia	facial telangiectatic vessels
hp:0007380	facial telangiectasia	telangiectasia, facial
hp:0007381	congenital exfoliative erythroderma	congenital exfoliative erythroderma
hp:0007383	congenital localized absence of skin	congenital localized absence of skin
hp:0007383	congenital localized absence of skin	congenital localized skin absence
hp:0007384	aberrant melanosome maturation	aberrant melanosome maturation
hp:0007385	aplasia cutis congenita of scalp	aplasia cutis congenita of scalp
hp:0007385	aplasia cutis congenita of scalp	scalp aplasia cutis congenita
hp:0007387	hypoplastic sweat glands	hypoplastic sweat glands
hp:0007387	hypoplastic sweat glands	underdeveloped sweat glands
hp:0007390	hyperkeratosis with erythema	hyperkeratosis with erythema
hp:0007392	excessive wrinkled skin	excessive wrinkled skin
hp:0007392	excessive wrinkled skin	excessive wrinkled skin
hp:0007394	prominent superficial blood vessels	prominent superficial blood vessels
hp:0007394	prominent superficial blood vessels	prominent superficial blood vessels
hp:0007394	prominent superficial blood vessels	prominent superficial vasculature
hp:0007395	postnatal-onset ichthyosiform erythroderma	postnatal-onset ichthyosiform erythroderma
hp:0007395	postnatal-onset ichthyosiform erythroderma	postnatal-onset ichthyosis
hp:0007396	early cutaneous photosensitivity	early cutaneous photosensitivity
hp:0007396	early cutaneous photosensitivity	sun sensitivity occuring early in life
hp:0007397	axillary apocrine gland hypoplasia	axillary apocrine gland hypoplasia
hp:0007398	asymmetric, linear skin defects	asymmetric, linear skin defects
hp:0007400	irregular hyperpigmentation	irregular hyperpigmentation
hp:0007401	macular atrophy	macular atrophy
hp:0007402	areas of hypopigmentation and hyperpigmentation that do not follow blaschko lines	areas of hypopigmentation and hyperpigmentation that do not follow blaschko lines
hp:0007403	hypertrophy of skin of soles	hypertrophy of skin of soles
hp:0007403	hypertrophy of skin of soles	thick skin of soles
hp:0007404	nonepidermolytic palmoplantar keratoderma	nonepidermolytic palmoplantar keratoderma
hp:0007406	hyperpigmentation of eyelids	hyperpigmentation of eyelids
hp:0007406	hyperpigmentation of eyelids	dark eyelids
hp:0007407	excessive skin wrinkling on dorsum of hands and fingers	excessive skin wrinkling on dorsum of hands and fingers
hp:0007407	excessive skin wrinkling on dorsum of hands and fingers	excessive skin wrinkling on back of hands and fingers
hp:0007408	tegumentary leishmaniasis susceptibility	tegumentary leishmaniasis susceptibility
hp:0007409	obsolete absence of subcutaneous fat over entire body except buttocks, hips, and thighs	obsolete absence of subcutaneous fat over entire body except buttocks, hips, and thighs
hp:0007410	palmoplantar hyperhidrosis	palmoplantar hyperhidrosis
hp:0007410	palmoplantar hyperhidrosis	hyperhidrosis of palms and soles
hp:0007410	palmoplantar hyperhidrosis	excessive sweating of palms and soles
hp:0007411	hypoplastic-absent sebaceous glands	hypoplastic-absent sebaceous glands
hp:0007412	macular hyperpigmented dermopathy	macular hyperpigmented dermopathy
hp:0007413	nevus flammeus of the forehead	nevus flammeus of the forehead
hp:0007413	nevus flammeus of the forehead	port-wine stain on forehead
hp:0007414	neonatal wrinkled skin of hands and feet	neonatal wrinkled skin of hands and feet
hp:0007414	neonatal wrinkled skin of hands and feet	wrinkled skin of hands and feet in newborn
hp:0007417	discoid lupus rash	discoid lupus rash
hp:0007417	discoid lupus rash	discoid lupus erythematosus
hp:0007418	alopecia totalis	alopecia totalis
hp:0007420	spontaneous hematomas	spontaneous hematomas
hp:0007421	telangiectases of the cheeks	telangiectases of the cheeks
hp:0007425	hyperextensible skin of face	hyperextensible skin of face
hp:0007425	hyperextensible skin of face	stretchable face skin
hp:0007425	hyperextensible skin of face	hyperelastic face skin
hp:0007427	reticulated skin pigmentation	reticulated skin pigmentation
hp:0007428	telangiectasia of the oral mucosa	telangiectasia of the oral mucosa
hp:0007428	telangiectasia of the oral mucosa	telangiectasia of the oral mucous membrane
hp:0007428	telangiectasia of the oral mucosa	angioectasia of the oral mucous membrane
hp:0007428	telangiectasia of the oral mucosa	angioectasia of the oral mucosa
hp:0007428	telangiectasia of the oral mucosa	spider veins of the oral mucosa
hp:0007429	few cafe-au-lait spots	few cafe-au-lait spots
hp:0007430	generalized edema	generalized edema
hp:0007430	generalized edema	generalized tissue edema
hp:0007431	congenital ichthyosiform erythroderma	congenital ichthyosiform erythroderma
hp:0007431	congenital ichthyosiform erythroderma	congenital ichthyosis
hp:0007431	congenital ichthyosiform erythroderma	ichthyosis, congenital
hp:0007432	intermittent generalized erythematous papular rash	intermittent generalized erythematous papular rash
hp:0007434	plaque-like facial hemangioma	plaque-like facial hemangioma
hp:0007434	plaque-like facial hemangioma	hemangioma, facial, plaque-like
hp:0007435	diffuse palmoplantar keratoderma	diffuse palmoplantar keratoderma
hp:0007436	hair-nail ectodermal dysplasia	hair-nail ectodermal dysplasia
hp:0007437	multiple cutaneous leiomyomas	multiple cutaneous leiomyomas
hp:0007438	mottled pigmentation of the trunk and proximal extremities	mottled pigmentation of the trunk and proximal extremities
hp:0007439	generalized keratosis follicularis	generalized keratosis follicularis
hp:0007440	generalized hyperpigmentation	generalized hyperpigmentation
hp:0007441	hyperpigmented/hypopigmented macules	hyperpigmented/hypopigmented macules
hp:0007443	partial albinism	partial albinism
hp:0007443	partial albinism	congenital partial albinism on face, trunk, or limbs
hp:0007443	partial albinism	congenital partial leucoderma
hp:0007443	partial albinism	partial absent skin pigmentation
hp:0007446	palmoplantar blistering	palmoplantar blistering
hp:0007447	diffuse palmoplantar hyperkeratosis	diffuse palmoplantar hyperkeratosis
hp:0007447	diffuse palmoplantar hyperkeratosis	hyperkeratosis, diffuse palmoplantar
hp:0007448	hyperkeratosis over edematous areas	hyperkeratosis over edematous areas
hp:0007449	confetti-like hypopigmented macules	confetti-like hypopigmented macules
hp:0007450	increased groin pigmentation with raindrop depigmentation	increased groin pigmentation with raindrop depigmentation
hp:0007451	ipsilateral lack of facial sweating	ipsilateral lack of facial sweating
hp:0007452	midface capillary hemangioma	midface capillary hemangioma
hp:0007452	midface capillary hemangioma	midfacial capillary hemangioma
hp:0007453	flexural lichenification	flexural lichenification
hp:0007455	adermatoglyphia	adermatoglyphia
hp:0007456	progressive reticulate hyperpigmentation	progressive reticulate hyperpigmentation
hp:0007457	prominent veins on trunk	prominent veins on trunk
hp:0007458	focal hyperextensible skin	focal hyperextensible skin
hp:0007459	generalized anhidrosis	generalized anhidrosis
hp:0007459	generalized anhidrosis	generalized inability to sweat
hp:0007460	autoamputation of digits	autoamputation of digits
hp:0007461	hemangiomatosis	hemangiomatosis
hp:0007462	bitot spots of the conjunctiva	bitot spots of the conjunctiva
hp:0007464	sparse facial hair	sparse facial hair
hp:0007464	sparse facial hair	sparse facial hair
hp:0007465	honeycomb palmoplantar keratoderma	honeycomb palmoplantar keratoderma
hp:0007466	midfrontal capillary hemangioma	midfrontal capillary hemangioma
hp:0007468	perifollicular hyperkeratosis	perifollicular hyperkeratosis
hp:0007469	palmoplantar cutis gyrata	palmoplantar cutis gyrata
hp:0007469	palmoplantar cutis gyrata	cutis gyrata of palms and soles
hp:0007470	periarticular subcutaneous nodules	periarticular subcutaneous nodules
hp:0007471	axillary and groin hyperpigmentation and hypopigmentation	axillary and groin hyperpigmentation and hypopigmentation
hp:0007473	crusting erythematous dermatitis	crusting erythematous dermatitis
hp:0007475	congenital bullous ichthyosiform erythroderma	congenital bullous ichthyosiform erythroderma
hp:0007475	congenital bullous ichthyosiform erythroderma	bullous congenital ichthyosiform erythroderma
hp:0007475	congenital bullous ichthyosiform erythroderma	epidermolytic hyperkeratosis
hp:0007476	anhidrotic ectodermal dysplasia	anhidrotic ectodermal dysplasia
hp:0007477	abnormal dermatoglyphics	abnormal dermatoglyphics
hp:0007477	abnormal dermatoglyphics	dermatoglyphic abnormalities
hp:0007477	abnormal dermatoglyphics	abnormal fingerprints
hp:0007479	congenital nonbullous ichthyosiform erythroderma	congenital nonbullous ichthyosiform erythroderma
hp:0007479	congenital nonbullous ichthyosiform erythroderma	collodion baby
hp:0007479	congenital nonbullous ichthyosiform erythroderma	congenital lamellar ichthyosis
hp:0007479	congenital nonbullous ichthyosiform erythroderma	congenital non-bullous ichthyosis
hp:0007479	congenital nonbullous ichthyosiform erythroderma	ichthyosis lammellaris
hp:0007479	congenital nonbullous ichthyosiform erythroderma	ichthyosis, congenital, nonblistering
hp:0007479	congenital nonbullous ichthyosiform erythroderma	nonbullous congenital ichthyosiform erythroderma
hp:0007479	congenital nonbullous ichthyosiform erythroderma	nonbullous congenital ichthyosis
hp:0007480	decreased sweating due to autonomic dysfunction	decreased sweating due to autonomic dysfunction
hp:0007481	hyperpigmented nevi	hyperpigmented nevi
hp:0007482	generalized papillary lesions	generalized papillary lesions
hp:0007483	depigmentation/hyperpigmentation of skin	depigmentation/hyperpigmentation of skin
hp:0007485	absence of subcutaneous fat	absence of subcutaneous fat
hp:0007485	absence of subcutaneous fat	general absence of subcutaneous fat
hp:0007485	absence of subcutaneous fat	absent fat below the skin
hp:0007486	cavernous hemangioma of the face	cavernous hemangioma of the face
hp:0007488	diffuse skin atrophy	diffuse skin atrophy
hp:0007489	diffuse telangiectasia	diffuse telangiectasia
hp:0007489	diffuse telangiectasia	diffuse telangiectases
hp:0007489	diffuse telangiectasia	telangiectases, random body distribution
hp:0007490	linear arrays of macular hyperkeratoses in flexural areas	linear arrays of macular hyperkeratoses in flexural areas
hp:0007494	discrete 2 to 5-mm hyper- and hypopigmented macules	discrete 2 to 5-mm hyper- and hypopigmented macules
hp:0007495	prematurely aged appearance	prematurely aged appearance
hp:0007495	prematurely aged appearance	precociously senile appearance
hp:0007495	prematurely aged appearance	prematurely aged appearance
hp:0007497	focal friction-related palmoplantar hyperkeratosis	focal friction-related palmoplantar hyperkeratosis
hp:0007497	focal friction-related palmoplantar hyperkeratosis	hyperkeratosis, palmoplantar, focal friction-related
hp:0007499	recurrent staphylococcal infections	recurrent staphylococcal infections
hp:0007499	recurrent staphylococcal infections	recurrent staphylococcal infections
hp:0007500	decreased number of sweat glands	decreased number of sweat glands
hp:0007500	decreased number of sweat glands	decreased sweat glands
hp:0007500	decreased number of sweat glands	decreased sweat pores
hp:0007501	streaks of hyperkeratosis along each finger onto the palm	streaks of hyperkeratosis along each finger onto the palm
hp:0007502	follicular hyperkeratosis	follicular hyperkeratosis
hp:0007502	follicular hyperkeratosis	hyperkeratosis follicularis
hp:0007503	generalized ichthyosis	generalized ichthyosis
hp:0007504	diffuse slow skin atrophy	diffuse slow skin atrophy
hp:0007505	progressive hyperpigmentation	progressive hyperpigmentation
hp:0007506	congenital absence of skin of limbs	congenital absence of skin of limbs
hp:0007506	congenital absence of skin of limbs	missing skin on limbs since birth
hp:0007508	punctate palmar hyperkeratosis	punctate palmar hyperkeratosis
hp:0007509	patchy hypo- and hyperpigmentation	patchy hypo- and hyperpigmentation
hp:0007509	patchy hypo- and hyperpigmentation	patchy hypo- and hyper-pigmentation
hp:0007510	focal dermal aplasia/hypoplasia	focal dermal aplasia/hypoplasia
hp:0007511	mottled pigmentation of photoexposed areas	mottled pigmentation of photoexposed areas
hp:0007513	generalized hypopigmentation	generalized hypopigmentation
hp:0007513	generalized hypopigmentation	fair skin
hp:0007513	generalized hypopigmentation	pale pigmentation
hp:0007514	edema of the dorsum of hands	edema of the dorsum of hands
hp:0007514	edema of the dorsum of hands	edema of dorsum of hands and feet
hp:0007515	hypoplastic pilosebaceous units	hypoplastic pilosebaceous units
hp:0007516	redundant skin on fingers	redundant skin on fingers
hp:0007516	redundant skin on fingers	extra skin on fingers
hp:0007517	palmoplantar cutis laxa	palmoplantar cutis laxa
hp:0007517	palmoplantar cutis laxa	excessive wrinkled skin of palms and soles
hp:0007517	palmoplantar cutis laxa	furrowed palms and soles
hp:0007517	palmoplantar cutis laxa	increased wrinkles of palms and soles
hp:0007517	palmoplantar cutis laxa	wrinkled palms and soles
hp:0007517	palmoplantar cutis laxa	wrinkled skin of hands and feet
hp:0007519	lack of subcutaneous fatty tissue	lack of subcutaneous fatty tissue
hp:0007519	lack of subcutaneous fatty tissue	lack of fatty tissue below the skin
hp:0007521	irregular hyperpigmentation of back	irregular hyperpigmentation of back
hp:0007522	increased number of skin folds	increased number of skin folds
hp:0007522	increased number of skin folds	increased number of skin folds
hp:0007524	atypical neurofibromatosis	atypical neurofibromatosis
hp:0007525	yellow subcutaneous tissue covered by thin, scaly skin	yellow subcutaneous tissue covered by thin, scaly skin
hp:0007526	hypopigmented skin patches on arms	hypopigmented skin patches on arms
hp:0007526	hypopigmented skin patches on arms	hypopigmented skin patches on arms
hp:0007526	hypopigmented skin patches on arms	patchy loss of skin color on arms
hp:0007529	hidrotic ectodermal dysplasia	hidrotic ectodermal dysplasia
hp:0007530	punctate palmoplantar hyperkeratosis	punctate palmoplantar hyperkeratosis
hp:0007534	congenital posterior occipital alopecia	congenital posterior occipital alopecia
hp:0007535	hypopigmented streaks	hypopigmented streaks
hp:0007536	aplasia cutis congenita of midline scalp vertex	aplasia cutis congenita of midline scalp vertex
hp:0007537	severe photosensitivity	severe photosensitivity
hp:0007537	severe photosensitivity	severe sun sensitivity
hp:0007541	frontal cutaneous lipoma	frontal cutaneous lipoma
hp:0007542	absent pigmentation of the ventral chest	absent pigmentation of the ventral chest
hp:0007543	epidermal hyperkeratosis	epidermal hyperkeratosis
hp:0007543	epidermal hyperkeratosis	increased thickness of skin epidermis
hp:0007544	piebaldism	piebaldism
hp:0007545	congenital palmoplantar keratosis	congenital palmoplantar keratosis
hp:0007546	linear hyperpigmentation	linear hyperpigmentation
hp:0007548	palmoplantar keratosis with erythema and scale	palmoplantar keratosis with erythema and scale
hp:0007549	desquamation of skin soon after birth	desquamation of skin soon after birth
hp:0007550	hypohidrosis or hyperhidrosis	hypohidrosis or hyperhidrosis
hp:0007550	hypohidrosis or hyperhidrosis	lack of sweating or excessive sweating
hp:0007552	abnormal subcutaneous fat tissue distribution	abnormal subcutaneous fat tissue distribution
hp:0007552	abnormal subcutaneous fat tissue distribution	abnormal fat tissue distribution below the skin
hp:0007553	congenital symmetrical palmoplantar keratosis	congenital symmetrical palmoplantar keratosis
hp:0007554	confetti hypopigmentation pattern of lower leg skin	confetti hypopigmentation pattern of lower leg skin
hp:0007554	confetti hypopigmentation pattern of lower leg skin	confetti hypopigmentation pattern of lower leg skin
hp:0007556	plantar hyperkeratosis	plantar hyperkeratosis
hp:0007556	plantar hyperkeratosis	plantar hyperkeratoses
hp:0007559	localized epidermolytic hyperkeratosis	localized epidermolytic hyperkeratosis
hp:0007560	unusual dermatoglyphics	unusual dermatoglyphics
hp:0007561	telangiectases in sun-exposed and nonexposed skin	telangiectases in sun-exposed and nonexposed skin
hp:0007565	multiple cafe-au-lait spots	multiple cafe-au-lait spots
hp:0007566	index finger dermatoglyphic radial loop	index finger dermatoglyphic radial loop
hp:0007569	generalized seborrheic dermatitis	generalized seborrheic dermatitis
hp:0007569	generalized seborrheic dermatitis	generalized seborrheic eczema
hp:0007570	hyperkeratosis lenticularis perstans	hyperkeratosis lenticularis perstans
hp:0007572	hyperpigmented streaks	hyperpigmented streaks
hp:0007573	late onset atopic dermatitis	late onset atopic dermatitis
hp:0007574	generalized bronze hyperpigmentation	generalized bronze hyperpigmentation
hp:0007576	palmar neurofibromas	palmar neurofibromas
hp:0007581	mediosternal, longitudinal streak of hypopigmentation	mediosternal, longitudinal streak of hypopigmentation
hp:0007583	telangiectasia macularis eruptiva perstans	telangiectasia macularis eruptiva perstans
hp:0007585	skin fragility with non-scarring blistering	skin fragility with non-scarring blistering
hp:0007586	telangiectases producing 'marbled' skin	telangiectases producing 'marbled' skin
hp:0007587	numerous pigmented freckles	numerous pigmented freckles
hp:0007587	numerous pigmented freckles	numerous pigmented freckles
hp:0007588	reticular hyperpigmentation	reticular hyperpigmentation
hp:0007588	reticular hyperpigmentation	reticulate hyperpigmentation
hp:0007589	aplasia cutis congenita on trunk or limbs	aplasia cutis congenita on trunk or limbs
hp:0007590	aplasia cutis congenita over posterior parietal area	aplasia cutis congenita over posterior parietal area
hp:0007592	aplasia/hypoplastia of the eccrine sweat glands	aplasia/hypoplastia of the eccrine sweat glands
hp:0007592	aplasia/hypoplastia of the eccrine sweat glands	hypoplastic-absent eccrine sweat glands
hp:0007595	redundant skin in infancy	redundant skin in infancy
